225 contests
rank	name	rating	participations
1	neal_wu	3596.4455232825558	52
2	uwi	3359.104411816719	170
3	huzecong	3169.620971626182	38
4	JOHNKRAM	3166.965577180673	96
5	awice	3165.4574165850704	92
6	tmwilliamlin168	3146.6348419462975	20
7	superluminal	3145.684542328261	101
8	liouzhou_101	3110.71653146514	85
9	beet	3108.66911179323	70
10	LayCurse	3091.6930478253676	64
11	lympanda	3052.067821595305	64
12	natsugiri	3047.9394774588304	70
13	kmjp	3046.6992905991815	77
14	zerotrac2	3041.0739824581506	77
15	hank55663	3038.1296409829306	43
16	hitonanode	3021.093138806089	62
17	sheepforever	2996.1573245126865	23
18	huangyuyang	2995.9831752454356	39
19	QingchuanZhang-Microsoft	2994.14096838653	28
20	kotamanegi	2991.2254075026362	25
21	wjli	2987.546699251937	147
22	cuiaoxiang	2954.6686005478336	171
23	yubowenok	2950.9606962724065	148
24	Dymonchyk	2928.3094221240235	25
25	SaveVMK	2914.1981528153174	127
26	badgergo	2914.0377023110946	20
27	arknave	2898.6671029335594	32
28	i_love_xiaoshagua_cpp	2885.5014613804133	66
29	kzyKT	2875.783624040576	91
30	nhho	2875.733910442064	78
31	Fr0benius	2867.4776323932056	69
32	cchao	2860.2038142630577	59
33	chenwang0517	2856.0900638433104	33
34	zqy1018	2850.6490018729874	58
35	skywalkert	2830.509543076915	10
36	laekov_prc	2828.2639891000545	24
37	cai_lw	2828.0018130977514	59
38	OTTFF	2825.4820860972854	112
39	keep__calm	2813.710333922578	22
40	Kmcode	2813.098619759389	31
41	LarryNY	2811.727116669561	43
42	satanic0258	2801.6043271993544	33
43	wnjxyk	2791.7314291100056	71
44	qwnjc	2790.929205756579	209
45	daodao-2	2782.4629157191935	45
46	suzyzhang	2781.305464274991	118
47	mingqin-chen	2779.7153616161063	29
48	LTzycLT	2773.718097177072	57
49	tsholmes	2771.450676268729	21
50	saffah	2770.660795200581	18
51	lucifer1004	2765.420816035148	54
52	shik	2756.6826326085825	12
53	pentester	2752.252469567297	43
54	multipass	2748.9824892533293	31
55	dreamoon	2743.3183132815916	66
56	wangyisong	2742.4161942076767	15
57	user7269F	2742.3439065561033	11
58	KakaHiguain	2742.113016079431	56
59	pku_erutan	2739.930670308	46
60	deadRabbit	2738.8445811419233	42
61	huizew	2733.783331924782	74
62	DickLearning	2732.3161496742596	52
63	jevancc	2731.848974242658	32
64	ZhongnianTao	2723.4095381912657	32
65	face4	2723.008332234494	39
66	jzjsuper	2721.851463831378	36
67	__Chaos__	2719.966282328698	72
68	hanshaohey	2719.808933824486	9
69	betrue12	2717.551018016293	24
70	Hexadecimal	2717.1745814450483	216
71	x____x	2710.8938547751045	121
72	taran_1407	2710.649585748748	28
73	pjincz	2710.519925295671	42
74	xiaowuc1	2710.2982779062654	11
75	suiyuan1992	2706.251860156691	74
76	emthrm	2701.262998014988	10
77	tian-tang-6	2694.6403973072584	14
78	ssigurdsson	2693.6410163142964	18
79	lg52931	2692.3233303758834	6
80	MaskRay	2692.215049143027	26
81	mirosuaf	2692.1389623783953	67
82	nevergiveup	2690.801396691752	221
83	Akatsuki_	2688.68088368976	96
84	megaspazz	2688.23012015188	117
85	Netario36	2687.5644432693466	52
86	Cicindela	2684.3750330310554	38
87	lbjlc	2684.369761031752	106
88	catalin7	2683.845730064762	18
89	triplem5ds	2682.642081412645	12
90	fdironia	2682.5365715110465	33
91	okaduki	2677.734817312712	97
92	A_Le_K	2677.4088426634685	38
93	pseudouser	2677.3646523575126	27
94	hsuan-ting	2675.5035369560715	32
95	palayutm	2674.6582002248174	10
96	Xuderian	2674.4905610554956	18
97	jml04	2673.6283020129895	76
98	crazymerlyn	2673.1702222537215	31
99	xh286286	2671.0671863913863	30
100	fsqhxrcjw	2669.3040408229976	41
101	szp14	2665.9894304439704	190
102	617280219	2665.7696397527648	41
103	xietiansh	2665.414991069501	17
104	logsniper	2663.543801283764	33
105	davyjing	2661.0533387479754	51
106	caoboxiao	2658.3466374745594	31
107	tmt514	2653.8890343273843	20
108	darrenhp	2653.143697051511	77
109	farmerboy	2653.0172384352272	72
110	wyh9346	2652.789615638455	50
111	lozy219	2652.676771209861	38
112	sleepybag	2649.750081797908	28
113	yaketake08	2649.295445283538	20
114	YangZhenjian	2646.608575646996	89
115	Anarchy	2645.1869785844965	35
116	alexlinzhai	2643.7079793480393	20
117	nosrpku	2640.0034901565964	29
118	NEU20133823	2639.7610021032688	133
119	qpwoeirut	2638.0823124119947	61
120	wxy9018	2635.7335912900676	60
121	HMAXS	2633.464999740928	27
122	hahahiehie	2632.734724549627	119
123	cszclin	2632.509948654387	66
124	alpha_null	2628.413934719622	76
125	Yulian_Yarema	2627.759635857951	28
126	seeean	2626.736685760271	103
127	cheatcode	2625.7269233706825	31
128	LighTcml	2625.0778185851204	20
129	sohelH	2624.6220621542575	85
130	IrisGuo	2623.632063930996	65
131	Iamyxx	2620.840263901765	49
132	LaSeineFirenze	2619.468382259973	43
133	ykx_akks	2619.198499892415	27
134	naoya_t	2618.5345110246785	66
135	han3000	2615.8738586061536	21
136	imcom	2615.78660074466	18
137	tfliao	2611.430120886883	79
138	CyberZHG	2609.3232171638347	62
139	WJTung	2608.539639622059	94
140	waakaaka	2608.0515566914355	8
141	yurisantamarina	2607.422024766801	15
142	please_AC	2606.7078018125103	92
143	Kaizyn	2603.296943833991	66
144	thuczh	2601.055032003291	44
145	aztk	2599.5982543820414	9
146	googlweknoall	2597.6720687794063	37
147	cd2903	2595.9625892415916	41
148	Sd-Invol	2593.281781424681	9
149	zhantons	2593.129149461993	12
150	FoolPerson	2592.9202395697966	25
151	facelessvoid	2592.4708662084486	65
152	temirulan	2591.601782382785	19
153	alanmiller	2590.920191864805	60
154	balakrishnan_v	2585.9286127622786	56
155	Heltion	2585.047011611736	19
156	namasikanam	2582.3618800135873	12
157	yh157612	2582.1270712453984	69
158	plus2047	2581.5831264410235	77
159	lixx2100	2580.6825727593036	98
160	littlefriend1995	2580.5528224973164	11
161	pedro	2579.602218777845	85
162	RadianceSheep	2578.8545431389553	16
